scan_id,timestamp,lat,lon,ssid,mac,rssi
171,2026-02-17 10:44:11,35.51788,11.03478,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
171,2026-02-17 10:44:11,35.51788,11.03478,Airbox-2B7B,B0:0A:D5:78:2B:7B,-83
171,2026-02-17 10:44:11,35.51788,11.03478,ORANGE_908C,24:26:D6:F5:90:94,-89
170,2026-02-17 10:44:06,35.5178,11.03478,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
170,2026-02-17 10:44:06,35.5178,11.03478,TT_3EF0,40:ED:00:C3:3E:F0,-88
169,2026-02-17 10:44:01,35.51756,11.03477,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-73
169,2026-02-17 10:44:01,35.51756,11.03477,ooredoo-68CE27,98:A9:42:68:CE:28,-87
168,2026-02-17 10:43:56,35.51719,11.03474,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-76
168,2026-02-17 10:43:56,35.51719,11.03474,ORANGE_908C,24:26:D6:F5:90:94,-79
168,2026-02-17 10:43:56,35.51719,11.03474,Airbox-2B7B,B0:0A:D5:78:2B:7B,-87
168,2026-02-17 10:43:56,35.51719,11.03474,Ooredoo-X17M-E30BC0,FC:3F:FC:E3:0B:C4,-81
168,2026-02-17 10:43:56,35.51719,11.03474,TT_3EF0,40:ED:00:C3:3E:F0,-89
167,2026-02-17 10:43:51,35.5172,11.0346,ORANGE_908C,24:26:D6:F5:90:94,-83
167,2026-02-17 10:43:51,35.5172,11.0346,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-76
167,2026-02-17 10:43:51,35.5172,11.0346,Ooredoo-X17M-E30BC0,FC:3F:FC:E3:0B:C4,-81
167,2026-02-17 10:43:51,35.5172,11.0346,Ooredoo-DE35,BC:75:74:F2:DE:35,-84
166,2026-02-17 10:43:46,35.51705,11.03457,Ooredoo-X17M-E30BC0,FC:3F:FC:E3:0B:C4,-81
